,i_roc,p_roc,i_ap,p_ap,i_f1,p_f1,r_f1,r_f1_fixed,p_pro,t_dino,t_sam,t_saliency,t_total,n_images,peak_vram
carpet,94.78,70.42,97.71,39.95,94.19,56.64,55.26,37.33,38.06,1814.53,2232.70,35.58,4167.48,117.00,6498.87
grid,80.45,63.96,93.65,12.43,84.44,18.09,28.22,22.09,42.73,1556.62,2257.34,41.33,3940.43,78.00,6498.87
leather,98.13,85.25,99.42,64.79,97.85,72.84,64.62,50.57,74.74,1294.07,2260.75,38.95,3677.59,124.00,6498.87
tile,96.32,81.70,98.69,62.42,94.41,64.95,66.24,51.43,65.08,1295.02,2278.59,37.30,3679.35,117.00,6498.87
wood,98.95,81.83,99.69,60.31,98.31,67.16,122.57,33.33,54.00,1294.43,2285.75,43.21,3714.86,79.00,6498.87
bottle,79.21,68.97,92.12,32.56,88.72,39.26,44.44,20.14,39.42,1296.85,2411.43,47.70,3842.25,83.00,6498.87
cable,56.00,69.06,72.44,20.02,76.03,32.28,51.50,11.06,33.40,1297.31,2763.49,87.49,4273.88,150.00,8761.24
capsule,51.66,61.87,85.66,8.18,90.46,17.67,18.92,14.59,34.93,1298.80,2585.67,63.04,4057.33,132.00,6498.87
hazelnut,84.04,85.47,90.30,38.56,86.11,44.65,74.40,37.64,60.64,1303.60,2690.09,73.74,4182.55,110.00,7896.66
metal_nut,29.23,59.89,74.13,13.28,89.42,36.20,24.15,17.76,23.83,1303.49,2482.20,55.71,3918.98,115.00,6498.87
pill,40.18,93.16,83.62,51.73,91.56,46.08,32.14,14.21,64.48,1298.76,2893.10,73.31,4354.94,167.00,8793.25
screw,40.85,67.60,65.78,6.83,85.92,20.70,24.40,13.78,28.60,1291.41,2458.36,53.28,3907.77,160.00,6498.87
toothbrush,27.50,64.44,59.07,2.29,83.33,8.20,8.13,1.49,26.86,1294.29,2746.45,79.44,4239.51,42.00,7192.31
transistor,31.04,64.83,31.51,6.68,57.14,19.57,10.79,3.39,26.18,1298.39,2703.77,81.10,4203.30,100.00,6712.08
zipper,37.05,78.83,76.85,12.85,88.15,21.48,10.91,0.00,28.34,1303.32,2295.25,49.11,3746.88,151.00,6498.87
