,i_roc,p_roc,i_ap,p_ap,i_f1,p_f1,r_f1,r_f1_fixed,p_pro,t_dino,t_sam,t_saliency,t_total,n_images,peak_vram
visa_public-candle,62.58,55.76,65.64,4.18,68.04,15.24,2.86,2.54,25.50,1288.47,2409.23,1719.72,5543.66,200.00,6744.10
visa_public-capsules,62.00,85.12,75.70,50.48,78.26,59.27,18.71,18.71,52.25,2027.13,2563.22,1537.71,6359.69,160.00,6904.17
visa_public-cashew,83.26,54.94,92.87,7.11,82.86,13.42,43.03,31.15,61.60,1566.32,2038.27,38.22,3785.24,150.00,6498.64
visa_public-chewinggum,92.60,93.81,96.95,81.30,91.19,86.12,53.49,33.26,52.70,1409.65,2053.31,42.00,3687.17,150.00,6498.75
visa_public-fryum,38.88,94.47,63.91,37.73,80.00,52.52,3.46,3.23,34.02,1698.90,2103.55,62.23,4002.73,150.00,6497.87
visa_public-macaroni1,82.38,81.04,86.75,29.09,75.00,46.03,15.92,12.01,27.57,1701.57,2035.00,654.40,4522.54,200.00,6497.87
visa_public-macaroni2,74.61,75.85,81.40,23.35,70.16,37.80,14.97,12.35,37.22,2036.92,2038.14,592.23,4826.58,200.00,6497.87
visa_public-pcb1,68.00,73.99,70.75,5.94,67.58,20.42,3.09,2.47,3.92,2408.06,2375.40,87.13,4993.38,200.00,6498.75
visa_public-pcb2,69.43,82.94,73.89,1.96,68.24,8.93,2.22,0.63,48.93,2103.70,2200.26,60.91,4514.83,200.00,6498.75
visa_public-pcb3,55.51,72.72,58.73,1.94,66.67,9.82,2.39,0.58,47.95,2576.58,2493.23,108.41,5362.04,201.00,6777.74
visa_public-pcb4,70.70,66.28,70.54,2.83,73.50,10.91,2.12,1.59,14.21,2891.55,2681.21,122.52,5872.87,201.00,8985.26
visa_public-pipe_fryum,93.24,72.42,91.92,18.96,93.60,44.42,29.19,22.85,37.61,1355.81,2050.12,40.07,3603.99,150.00,6498.54
