,i_roc,p_roc,i_ap,p_ap,i_f1,p_f1,r_f1,r_f1_fixed,p_pro,t_dino,t_sam,t_saliency,t_total,n_images,peak_vram
carpet,94.78,73.25,97.71,37.16,94.19,55.36,32.58,29.27,37.82,1798.83,98.39,25.50,2022.30,117.00,1734.22
grid,80.12,65.44,93.51,9.44,84.44,15.58,19.44,10.45,39.19,1613.77,113.95,32.16,1853.14,78.00,2150.43
leather,98.06,88.35,99.40,63.76,97.85,70.35,62.80,45.41,73.58,1342.31,116.10,30.44,1581.94,124.00,1830.27
tile,95.35,81.12,98.34,59.81,93.25,61.73,77.85,49.66,63.78,1349.38,140.29,28.32,1597.67,117.00,1958.33
wood,99.04,82.98,99.71,54.25,97.48,63.68,81.03,39.49,48.29,1353.71,156.62,35.86,1651.96,79.00,2150.43
bottle,85.56,69.88,95.00,32.87,91.34,40.34,41.33,17.50,38.75,1342.94,282.32,40.68,1760.40,83.00,3238.96
cable,59.71,70.72,75.13,22.81,76.03,34.20,46.63,15.30,35.72,1349.31,634.19,90.17,2223.84,150.00,6218.08
capsule,51.58,62.68,86.49,9.17,90.46,18.92,25.43,19.65,38.31,1338.36,460.94,60.60,1999.71,132.00,3943.30
hazelnut,83.93,85.87,90.64,41.15,85.14,47.26,70.55,39.04,59.69,1343.41,575.57,80.01,2144.49,110.00,5351.99
metal_nut,26.98,58.97,72.59,13.03,89.42,36.13,20.00,17.76,22.23,1353.35,351.46,48.30,1838.24,115.00,3495.08
pill,39.91,92.22,83.50,49.97,91.56,44.89,32.39,17.72,62.55,1349.66,787.82,73.60,2322.12,167.00,6250.08
screw,38.12,67.21,65.08,5.71,85.30,20.81,24.60,11.43,25.24,1339.71,336.10,49.59,1839.13,160.00,3655.16
toothbrush,27.50,64.24,59.14,2.37,83.33,8.61,4.28,1.78,26.90,1349.48,645.73,89.82,2238.29,42.00,4647.65
transistor,42.25,66.07,36.86,7.31,57.14,20.23,9.90,4.26,29.16,1344.50,583.26,84.18,2166.08,100.00,4167.41
zipper,41.36,78.97,78.29,14.72,88.15,23.49,7.51,0.00,30.24,1343.51,161.96,40.27,1650.22,151.00,1734.22
