,i_roc,p_roc,i_ap,p_ap,i_f1,p_f1,r_f1,r_f1_fixed,p_pro,t_dino,t_sam,t_saliency,t_total,n_images,peak_vram
visa_public-candle,68.35,55.84,71.84,4.59,68.59,16.26,3.06,3.06,26.00,1436.86,586.76,1412.09,3569.86,200.00,4199.43
visa_public-capsules,63.98,85.59,77.02,46.80,78.09,58.55,19.78,19.78,53.07,2268.79,757.55,1622.40,4902.43,160.00,4359.51
visa_public-cashew,84.24,55.11,93.33,7.37,83.11,14.15,39.10,29.05,61.11,1731.58,154.64,31.34,2075.39,150.00,1926.32
visa_public-chewinggum,91.40,94.01,96.40,80.32,90.62,84.64,43.21,31.26,50.53,1560.89,170.42,35.19,1967.92,150.00,1894.30
visa_public-fryum,60.00,95.01,78.53,49.93,80.00,55.94,7.42,6.59,36.37,1891.03,226.11,57.96,2322.10,150.00,2022.37
visa_public-macaroni1,83.20,79.77,87.56,26.90,77.13,42.66,14.31,12.72,26.67,1888.30,150.13,587.88,2761.94,200.00,1606.16
visa_public-macaroni2,76.52,75.98,83.28,22.15,70.90,35.32,14.15,12.04,38.98,2268.08,149.51,557.31,3154.49,200.00,1446.08
visa_public-pcb1,70.09,73.33,74.73,31.43,69.12,42.50,3.24,2.93,4.25,2662.83,525.65,89.00,3448.02,200.00,3559.12
visa_public-pcb2,69.85,84.83,74.72,2.12,67.31,8.97,0.74,0.37,48.99,2327.36,331.88,60.56,2918.29,200.00,2502.60
visa_public-pcb3,54.22,74.79,57.61,1.98,66.45,9.80,0.36,0.00,47.66,2863.95,658.83,113.30,3858.45,201.00,4231.45
visa_public-pcb4,70.41,65.08,71.06,2.67,73.68,11.16,1.71,1.37,13.75,3226.24,867.97,134.68,4473.53,201.00,6442.09
visa_public-pipe_fryum,93.36,69.93,92.00,15.93,93.14,39.05,27.45,22.14,40.01,1492.93,161.72,33.71,1864.29,150.00,2022.37
