,i_roc,p_roc,i_ap,p_ap,i_f1,p_f1,p_pro
carpet,94.23,70.06,97.71,38.02,94.12,55.98,0.00
grid,71.56,60.12,91.11,14.17,84.75,23.72,0.00
leather,100.00,84.07,100.00,66.14,100.00,75.76,0.00
tile,94.58,74.46,98.20,44.66,95.65,47.01,0.00
wood,98.56,80.83,99.60,55.38,98.04,64.22,0.00
bottle,82.69,67.77,94.65,27.49,90.57,38.07,0.00
cable,37.00,61.27,60.22,18.35,76.36,25.30,0.00
capsule,42.26,63.36,81.11,9.60,90.32,18.15,0.00
hazelnut,99.62,84.54,99.80,54.05,97.78,66.99,0.00
metal_nut,37.04,60.43,77.85,13.16,88.52,33.68,0.00
pill,30.34,96.13,83.29,78.20,92.06,72.92,0.00
screw,48.89,74.23,70.88,10.79,86.21,29.16,0.00
toothbrush,33.33,61.15,61.86,2.01,82.76,7.09,0.00
transistor,22.50,62.74,29.81,8.08,58.33,21.96,0.00
zipper,25.93,80.63,73.82,10.49,88.52,20.87,0.00
