,i_roc,p_roc,i_ap,p_ap,i_f1,p_f1,p_pro
visa_public-candle,56.46,50.41,59.62,0.23,69.09,1.59,0.00
visa_public-capsules,66.83,91.31,81.58,58.71,78.79,71.13,0.00
visa_public-cashew,77.04,52.21,90.46,3.92,81.16,7.22,0.00
visa_public-chewinggum,88.78,93.42,95.39,79.58,89.29,85.26,0.00
visa_public-fryum,34.69,96.37,63.40,69.14,80.00,71.71,0.00
visa_public-macaroni1,74.38,74.52,82.10,18.99,70.59,33.10,0.00
visa_public-macaroni2,70.52,70.67,80.33,22.88,68.75,38.58,0.00
visa_public-pcb1,62.81,73.18,75.87,10.59,66.67,31.58,0.00
visa_public-pcb2,73.92,83.05,80.69,1.59,73.17,5.44,0.00
visa_public-pcb3,62.13,62.28,72.80,1.36,68.29,8.61,0.00
visa_public-pcb4,73.24,77.26,76.90,5.58,73.91,15.07,0.00
visa_public-pipe_fryum,86.73,79.00,86.47,35.77,91.23,61.79,0.00
